Vulnerability Title,Link
A01:2021-Broken Access Control,https://owasp.org
A02:2021-Cryptographic Failures,https://owasp.org
A03:2021-Injection,https://owasp.org
A04:2021-Insecure Design,https://owasp.org
A05:2021-Security Misconfiguration,https://owasp.org
A06:2021-Vulnerable and Outdated Components,https://owasp.org
A07:2021-Identification and Authentication Failures,https://owasp.org
A08:2021-Software and Data Integrity Failures,https://owasp.org
A09:2021-Security Logging and Monitoring Failures,https://owasp.org
A10:2021-Server-Side Request Forgery (SSRF),https://owasp.org
